date,price,title
2018.12.25. 23:38,"150,000원",하이브리드 자전거 팝니당(crew) & 전기 자전거용 휠(알렉스 림) 
2018.12.25. 23:24,"530,000원",업그레이드한 테일지 에볼루션 전기자전거 팔아요~~ 
2018.12.25. 23:08,"550,000원",펀픽 ASKMY X01 접이식 전기 자전거 팝니다. 55만!! 
2018.12.25. 22:46,"250,000원",전기자전거 48v1000w용 베터리팝니다 
2018.12.25. 22:40,"2,000원",인모션 p1f 전기자전거 판매 타이어신품교환 
2018.12.25. 21:23,"11,111원",테일지 t7 미니벨로 전기자전거팝니다 
2018.12.25. 21:13,"420,000원",[서울] 샤오미 전기자전거 치사이클 사용감 있는 것 판매해용! 
2018.12.25. 20:32,"600,000원",알톤 쉐보레 전기자전거 CEBT21L 판매합니다. 
2018.12.25. 19:49,"420,000원",[서울] 샤오미 전기자전거 치사이클 판매합니다~ 
2018.12.25. 19:43,"700,000원",ASKMY X03 접이식 전기 자전거 팝니다. 70만!! 
2018.12.25. 19:20,"4,000원",인모션 p1f 전기자전거 판매 정식수입 타이어신품교환 
2018.12.25. 19:10,"1,300,000원",팻타이어 전기자전거 리콘 X13 가격인하 
2018.12.25. 18:41,"450,000원",테일지 전기자전거 판매합니다. 
2018.12.25. 18:30,"20,000원",리콘 전기 자전거 초특가 판매!! 
2018.12.25. 17:56,"420,000원",[서울] 샤오미 전기 자전거 치사이클 판매합니다. 
2018.12.25. 17:35,"420,000원",Qicycle 전기자전거 
2018.12.25. 17:19,"800,000원",전동스쿠터 전기스쿠터 전기바이크 전동바이크 제트봇 탈부착 씨티코코 우쿠 왕발통 퀵보드 전기자전거 전동휠 010 4952 8226 전화주세요^^80만원 
2018.12.25. 16:12,"450,000원",[부산]전기자전거 알톤 니모fd 판매합니다.(온가드락+전조등) 
2018.12.25. 15:57,"640,000원",전기자전거 프라텔로 FE2 + 여분배터리 판매 (거의 새것) 
2018.12.25. 15:43,"640,000원",전기자전거 프라텔로 FE2 + 여분배터리 1개 판매 
2018.12.25. 15:34,"500,000원",팬텀 마이크로 삼천리 전기자전거 
2018.12.25. 15:32,"500,000원",Aofeng F16 시마노6단 PAS 스로틀 지원 접이식 미니벨로 전기자전거 팝니다. 
2018.12.25. 14:39,"4,000원",인모션 p1f 전기자전거 판매 
