글 제목,가격,올린 시간,url
새 상품 [Apple] 2018 11형 iPad Pro Wifi 64GB - 스페이스그레이 (MTXN2KHA) 아이패드 프로 판매합니다.,"94,000원",2018.12.24. 22:10,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543652408&query=ipad+pro
아이패드 프로 iPad pro 3세대 12.9 인치 셀룰러 1테라 미개봉 새제품 팝니다,"2,400,000원",2018.12.24. 17:24,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543582725&query=ipad+pro
iPad Pro 10.5인치 Leather Sleeve 팝니다.,"80,000원",2018.12.24. 17:14,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543579949&query=ipad+pro
로지텍 아이패드 프로 차징스탠드 iPAD PRO Charging Stand,"2,222원",2018.12.24. 17:11,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543579169&query=ipad+pro
[애플정품]9.7형 iPad Pro용 실리콘 케이스 - 미드나이트 블루 A급 팝니다.,"50,000원",2018.12.24. 16:24,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543564623&query=ipad+pro
[애플정품]9.7형 iPad Pro용 실리콘 케이스 - 미드나이트 블루 A급 팝니다.,"50,000원",2018.12.24. 16:23,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&articleid=543564518&query=ipad+pro
랩씨 9.7 slim fit case for iPad Pro 9.7” 미사용,"19,000원",2018.12.24. 15:39,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&articleid=543550705&query=ipad+pro
Ipad pro 9.7 wifi+키보드+팬슬,"400,000원",2018.12.24. 14:52,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543535532&query=ipad+pro
[미개봉] 아이패드 프로 10.5 [ipad pro 10.5] 골드 256GB WIFI 판매합니다.,"870,000원",2018.12.24. 14:43,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543532553&query=ipad+pro
아이패드 프로 iPad Pro 10.5 셀룰러 64GB 스페이스그레이,"780,000원",2018.12.24. 13:40,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543510256&query=ipad+pro
[대구]iPad pro 10.5 256gb wifi 로즈 골드 판매합니다,"690,000원",2018.12.24. 13:32,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543507446&query=ipad+pro
iPad Pro 10.5 Smart Keybord,"100,000원",2018.12.24. 12:43,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543489589&query=ipad+pro
IPad Pro 아이패드 프로 12.9 1세대 128G 45만원에 초급처해요!,"450,000원",2018.12.24. 10:39,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=449&articleid=543441874&query=ipad+pro
판매) ipad Pro WiFI Cellular 64 GB space Gray // 보증기간 有 // 정상 해지,"2,000원",2018.12.24. 10:36,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543440522&query=ipad+pro
iPad Pro(11-inch)(3nd generation) Wi-Fi 64GB 판매합니다.,"990,000원",2018.12.24. 09:36,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=543416828&query=ipad+pro
