date,delivery fee,price,title,url
2018-09-07 오후 1:28:45,"배송비 2,500원","99,000",중고 삼성LG7인치8인치태블릿PC갤럭시탭/아이패드,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B526020465&scoredtype=0&keyword=ipad
2018-07-27 오후 5:12:36,무료 배송,"159,000",애플 아이패드2/Apple iPad ios/IPAD/WIFI/중고상품,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B447819554&scoredtype=0&keyword=ipad
NONE,무료 배송,"360,000",아이패드6 32g,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032427415&scoredtype=0&keyword=ipad
NONE,"배송비 2,500원","250,000",아이패드 1 애플 +충전 케이블 새제품+케이스,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032426716&scoredtype=0&keyword=ipad
2018-12-24 오후 9:00:05,"배송비 4,000원","1,250,000",아이패드프로 12.9형 미사용제품 파격구성판매,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616856481&scoredtype=0&keyword=ipad
NONE,"배송비 2,700원","148,000",아이패드 미니 2세대,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032424956&scoredtype=0&keyword=ipad
2018-12-24 오후 3:32:07,무료 배송,"480,000",아이패드프로9.7중고 LTE+WIFI 128기가A급 A1674중고,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616764207&scoredtype=0&keyword=ipad
NONE,무료 배송,"1,270,000",아이패드 프로 3세대 12.9 64G 셀룰러 풀박스 팝니다,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032416710&scoredtype=0&keyword=ipad
NONE,무료 배송,"108,000","30핀 아이패드 애플 정품 독키보드 1,2,3 용",http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032416633&scoredtype=0&keyword=ipad
NONE,무료 배송,"35,000","아이패드1,2,3 용 정품 SD, USB 컨버터",http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032416638&scoredtype=0&keyword=ipad
2018-12-24 오전 10:18:12,무료 배송,"600,000",아이패드프로9.7형128GB(Cellular),http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616674018&scoredtype=0&keyword=ipad
NONE,"배송비 4,500원","93,000",아이패드 1세대 64GB,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032406659&scoredtype=0&keyword=ipad
NONE,"배송비 4,500원","150,000",아이패드 2세대 64GB,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032406624&scoredtype=0&keyword=ipad
NONE,무료 배송,"720,000",아이패드프로 12.9 2세대 256g홍콩판,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032406506&scoredtype=0&keyword=ipad
2018-12-23 오후 11:28:03,무료 배송,"110,000",아이패드프로 스마트키보드 A1636 (MNKT2KH/A) 새제품,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616592180&scoredtype=0&keyword=ipad
NONE,"배송비 4,000원","91,000",아이패드 1세대 ( 내장 32 기가 ) 상태 좋습니다.,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032403313&scoredtype=0&keyword=ipad
2018-12-23 오후 9:13:22,무료 배송,"38,000",아이패드 9.7 스마트커버  퓨어스냅 케이스,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616568993&scoredtype=0&keyword=ipad
2018-12-23 오후 9:06:37,무료 배송,"1,100,000",아이패드프로 12.9 512 셀룰러,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616568013&scoredtype=0&keyword=ipad
2018-12-23 오후 7:41:55,무료 배송,"689,000",아이패드 프로2 10.5 64기가 + 애플펜슬,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B616553278&scoredtype=0&keyword=ipad
NONE,"배송비 3,500원","10,900",(쏘우체공방)고급형원목  아이패드거치대 제작판,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B032397423&scoredtype=0&keyword=ipad
